Number issue,Uniq Com
255,3
252,4
251,3
250,2
249,1
248,1
247,4
246,1
245,2
244,4
243,1
242,2
241,2
240,1
235,4
232,3
231,3
229,1
228,2
227,3
226,0
225,3
224,2
221,5
218,4
217,3
206,3
204,3
200,3
198,3
196,2
195,2
194,2
191,2
188,5
187,3
185,1
184,2
179,5
178,0
174,5
173,7
171,0
170,1
169,0
163,3
162,4
154,0
146,2
143,4
142,8
138,2
137,7
134,3
132,2
130,1
129,9
127,4
125,4
118,5
94,3
93,2
91,1
88,7
84,2
83,2
79,4
73,3
64,9
57,5
52,3
43,4
30,1
26,5
24,3
22,4
20,4
10,14
