state,labels
open,"documentation,approved,footstep"
open,"documentation,approved,footstep"
open,"documentation,approved,footstep"
open,footstep
open,footstep
open,footstep
open,footstep
open,"approved,footstep"
open,"approved,footstep"
open,"approved,footstep"
open,"approved,footstep"
open,"documentation,approved,footstep"
open,"approved,footstep"
open,footstep
open,"approved,footstep"
open,"approved,footstep,content making"
open,"approved,footstep"
open,"approved,footstep"
open,footstep
open,footstep
open,"approved,footstep"
open,"approved,footstep"
open,"approved,footstep,content making"
open,"approved,footstep,content making"
open,"approved,footstep"
open,"approved,footstep"
open,"approved,footstep"
open,footstep
open,footstep
open,"documentation,approved,footstep"
open,footstep
open,"approved,footstep"
open,footstep
open,"approved,footstep"
open,"approved,footstep"
open,footstep
open,"approved,footstep"
open,"approved,footstep"
open,footstep
open,"documentation,approved,footstep"
open,"documentation,approved,footstep"
open,footstep
open,footstep
open,footstep
open,"approved,footstep"
open,"approved,footstep"
open,
open,footstep
open,footstep
open,"approved,footstep"
open,footstep
open,"approved,footstep"
open,footstep
open,
open,footstep
open,"approved,footstep"
open,"documentation,approved,footstep"
open,"approved,footstep"
open,footstep
open,"documentation,approved,footstep"
open,"approved,footstep"
open,footstep
open,
open,"approved,footstep"
open,"approved,footstep,content making"
open,"approved,footstep,content making"
open,"approved,footstep"
open,footstep
open,"approved,footstep"
open,"approved,footstep"
open,"approved,footstep"
open,footstep
open,"approved,footstep,content making"
open,footstep
open,footstep
open,footstep
open,footstep
open,"documentation,approved,footstep"
open,"documentation,approved,footstep"
